Date,Close
01 10 2014,434
07 10 2014,431.2250061
08 10 2014,433.7999878
09 10 2014,443.7999878
10 10 2014,433.6499939
13 10 2014,438.3999939
14 10 2014,434.1749878
15 10 2014,434.1749878
16 10 2014,429.4249878
17 10 2014,442.625
20 10 2014,446.8999939
21 10 2014,447.7749939
22 10 2014,446.8250122
27 10 2014,448.625
28 10 2014,447.6499939
29 10 2014,445.7749939
30 10 2014,448.3250122
31 10 2014,455.9249878
03 11 2014,455.3500061
05 11 2014,456.3999939
07 11 2014,449.7250061
10 11 2014,452.3250122
11 11 2014,453.9500122
12 11 2014,455.875
13 11 2014,457.9750061
14 11 2014,465.0499878
17 11 2014,459.4750061
18 11 2014,466.1000061
19 11 2014,463.2749939
20 11 2014,459.1000061
21 11 2014,466.4249878
24 11 2014,472.6000061
25 11 2014,476.7749939
26 11 2014,475.6499939
27 11 2014,474.0750122
28 11 2014,478.5750122
01 12 2014,475
02 12 2014,471.6499939
03 12 2014,466.5499878
04 12 2014,470.7000122
05 12 2014,471.375
08 12 2014,463.5750122
09 12 2014,463.375
10 12 2014,465.7000122
11 12 2014,466.7999878
12 12 2014,465.75
15 12 2014,470.75
16 12 2014,462.875
17 12 2014,460.9249878
18 12 2014,467.0249939
19 12 2014,470.7250061
22 12 2014,481.8500061
23 12 2014,479.875
24 12 2014,472.625
26 12 2014,474.3250122
29 12 2014,475.8500061
30 12 2014,478.2250061
31 12 2014,475.7999878
01 01 2015,476.0249939
02 01 2015,482.6499939
05 01 2015,478.5750122
06 01 2015,471.125
07 01 2015,472.5
08 01 2015,482.4249878
09 01 2015,487.8250122
12 01 2015,483.5249939
13 01 2015,481.6749878
14 01 2015,481.9500122
15 01 2015,496.5750122
16 01 2015,500.6749878
19 01 2015,502.2749939
20 01 2015,510.4750061
21 01 2015,509.9750061
22 01 2015,510.625
23 01 2015,521.4000244
27 01 2015,537.0250244
28 01 2015,529.1749878
29 01 2015,547.5
30 01 2015,538.6749878
02 02 2015,540.7999878
03 02 2015,532.0499878
04 02 2015,533.8499756
05 02 2015,538.25
06 02 2015,526.75
09 02 2015,520.0499878
10 02 2015,527.2249756
11 02 2015,529.2000122
12 02 2015,538
13 02 2015,532.9000244
16 02 2015,533.7750244
18 02 2015,537.4000244
19 02 2015,539.9000244
20 02 2015,536.5250244
23 02 2015,533.75
24 02 2015,533.8250122
25 02 2015,526.2249756
26 02 2015,519.0750122
27 02 2015,527
02 03 2015,541.2750244
03 03 2015,541.6749878
04 03 2015,532.6500244
05 03 2015,542.5499878
09 03 2015,529.5
10 03 2015,526.2750244
11 03 2015,528.2249756
12 03 2015,527.2999878
13 03 2015,521.3250122
16 03 2015,525.7750244
17 03 2015,529.0250244
18 03 2015,531.7750244
19 03 2015,526.0999756
20 03 2015,527.9500122
23 03 2015,523.875
24 03 2015,518.9749756
25 03 2015,517.125
26 03 2015,503.4750061
27 03 2015,507.3250122
30 03 2015,518.4500122
31 03 2015,511.3500061
01 04 2015,516.625
06 04 2015,515.9749756
07 04 2015,516.375
08 04 2015,517.7750244
09 04 2015,528.0499878
10 04 2015,521.3250122
13 04 2015,519.4000244
15 04 2015,515.8250122
16 04 2015,514.8250122
17 04 2015,509.125
20 04 2015,502.5499878
21 04 2015,501.5
22 04 2015,506.5499878
23 04 2015,506.75
24 04 2015,503.2250061
27 04 2015,502.7250061
28 04 2015,502.2749939
29 04 2015,496.5750122
30 04 2015,494.3999939
04 05 2015,500.4750061
05 05 2015,493.8250122
06 05 2015,485.2999878
07 05 2015,475.6499939
08 05 2015,491
11 05 2015,495.1499939
12 05 2015,485.9750061
13 05 2015,495.125
14 05 2015,495.5249939
15 05 2015,495.0499878
18 05 2015,504.9249878
19 05 2015,503.7749939
20 05 2015,512.0250244
21 05 2015,512.3499756
22 05 2015,512.1500244
25 05 2015,511.7749939
